,epo-24,epo-21,epo-18,epo-15,epo-12,epo-9,epo-6,epo-3,epo0,epo3,epo6,epo9,epo12,epo15,nao-24,nao-21,nao-18,nao-15,nao-12,nao-9,nao-6,nao-3,nao0,nao3,nao6,nao9,nao12,nao15,pna-24,pna-21,pna-18,pna-15,pna-12,pna-9,pna-6,pna-3,pna0,pna3,pna6,pna9,pna12,pna15,wpo-24,wpo-21,wpo-18,wpo-15,wpo-12,wpo-9,wpo-6,wpo-3,wpo0,wpo3,wpo6,wpo9,wpo12,wpo15
924,24.66,36.83,135.26,55.56,45.56,171.23,102.22,39.33,34.48,81.23,21.34,157.01,50.42,6.29,75.73,205.10,77.23,52.88,92.88,61.95,49.58,22.18,212.58,139.59,90.97,15.91,55.06,64.52,83.43,48.05,283.40,263.97,266.11,254.69,120.46,355.32,32.97,66.71,210.47,128.98,1.17,231.93,60.31,49.61,48.05,29.52,63.60,16.62,77.21,5.13,9.03,15.01,51.52,177.32,109.89,72.25
925,52.82,94.54,98.79,16.72,145.18,128.78,95.43,8.66,59.25,17.95,51.96,226.69,39.94,42.62,157.45,150.69,22.41,105.11,3.83,21.14,17.83,87.94,208.42,139.63,89.00,36.02,28.67,69.03,24.31,46.98,353.50,277.11,163.58,211.41,300.84,269.21,3.18,65.60,143.23,200.72,46.73,236.86,67.69,52.43,57.73,28.83,99.05,14.75,93.56,12.93,52.92,33.93,132.57,180.76,112.13,58.55
926,56.19,150.72,77.35,9.36,208.27,93.36,54.69,18.95,120.67,24.77,119.27,216.26,6.04,89.95,228.32,146.61,31.80,131.32,18.71,64.10,6.36,162.80,180.91,120.82,45.96,69.45,33.33,38.25,42.27,132.21,356.13,317.66,192.16,105.62,397.81,159.28,68.74,142.21,21.49,133.54,167.20,270.58,44.85,36.49,43.39,57.54,64.62,34.42,44.42,20.21,55.21,20.70,149.80,125.97,107.52,66.21
927,36.83,135.26,55.56,45.56,171.23,102.22,39.33,34.48,81.23,21.34,157.01,50.42,6.29,167.19,205.10,77.23,52.88,92.88,61.95,49.58,22.18,212.58,139.59,90.97,15.91,55.06,64.52,102.44,48.05,283.40,263.97,266.11,254.69,120.46,355.32,32.97,66.71,210.47,128.98,1.17,231.93,223.82,49.61,48.05,29.52,63.60,16.62,77.21,5.13,9.03,15.01,51.52,177.32,109.89,72.25,105.63
928,94.54,98.79,16.72,145.18,128.78,95.43,8.66,59.25,17.95,51.96,226.69,39.94,42.62,217.25,150.69,22.41,105.11,3.83,21.14,17.83,87.94,208.42,139.63,89.00,36.02,28.67,69.03,64.45,46.98,353.50,277.11,163.58,211.41,300.84,269.21,3.18,65.60,143.23,200.72,46.73,236.86,145.79,52.43,57.73,28.83,99.05,14.75,93.56,12.93,52.92,33.93,132.57,180.76,112.13,58.55,115.96
929,150.72,77.35,9.36,208.27,93.36,54.69,18.95,120.67,24.77,119.27,216.26,6.04,89.95,259.79,146.61,31.80,131.32,18.71,64.10,6.36,162.80,180.91,120.82,45.96,69.45,33.33,38.25,11.23,132.21,356.13,317.66,192.16,105.62,397.81,159.28,68.74,142.21,21.49,133.54,167.20,270.58,210.71,36.49,43.39,57.54,64.62,34.42,44.42,20.21,55.21,20.70,149.80,125.97,107.52,66.21,100.19
930,135.26,55.56,45.56,171.23,102.22,39.33,34.48,81.23,21.34,157.01,50.42,6.29,167.19,251.44,77.23,52.88,92.88,61.95,49.58,22.18,212.58,139.59,90.97,15.91,55.06,64.52,102.44,4.91,283.40,263.97,266.11,254.69,120.46,355.32,32.97,66.71,210.47,128.98,1.17,231.93,223.82,296.65,48.05,29.52,63.60,16.62,77.21,5.13,9.03,15.01,51.52,177.32,109.89,72.25,105.63,102.15
931,98.79,16.72,145.18,128.78,95.43,8.66,59.25,17.95,51.96,226.69,39.94,42.62,217.25,147.29,22.41,105.11,3.83,21.14,17.83,87.94,208.42,139.63,89.00,36.02,28.67,69.03,64.45,23.91,353.50,277.11,163.58,211.41,300.84,269.21,3.18,65.60,143.23,200.72,46.73,236.86,145.79,276.18,57.73,28.83,99.05,14.75,93.56,12.93,52.92,33.93,132.57,180.76,112.13,58.55,115.96,84.89
932,77.35,9.36,208.27,93.36,54.69,18.95,120.67,24.77,119.27,216.26,6.04,89.95,259.79,40.86,31.80,131.32,18.71,64.10,6.36,162.80,180.91,120.82,45.96,69.45,33.33,38.25,11.23,30.05,356.13,317.66,192.16,105.62,397.81,159.28,68.74,142.21,21.49,133.54,167.20,270.58,210.71,259.81,43.39,57.54,64.62,34.42,44.42,20.21,55.21,20.70,149.80,125.97,107.52,66.21,100.19,11.07
933,55.56,45.56,171.23,102.22,39.33,34.48,81.23,21.34,157.01,50.42,6.29,167.19,251.44,203.19,52.88,92.88,61.95,49.58,22.18,212.58,139.59,90.97,15.91,55.06,64.52,102.44,4.91,34.64,263.97,266.11,254.69,120.46,355.32,32.97,66.71,210.47,128.98,1.17,231.93,223.82,296.65,358.56,29.52,63.60,16.62,77.21,5.13,9.03,15.01,51.52,177.32,109.89,72.25,105.63,102.15,72.59
