,epo-24,epo-21,epo-18,epo-15,epo-12,epo-9,epo-6,epo-3,epo0,epo3,epo6,epo9,epo12,epo15,nao-24,nao-21,nao-18,nao-15,nao-12,nao-9,nao-6,nao-3,nao0,nao3,nao6,nao9,nao12,nao15,pna-24,pna-21,pna-18,pna-15,pna-12,pna-9,pna-6,pna-3,pna0,pna3,pna6,pna9,pna12,pna15,wpo-24,wpo-21,wpo-18,wpo-15,wpo-12,wpo-9,wpo-6,wpo-3,wpo0,wpo3,wpo6,wpo9,wpo12,wpo15
0,75.43,274.20,167.21,20.65,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,76.85,78.61,193.00,106.52,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,51.33,50.04,251.86,219.93,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,19.21,8.60,205.06,41.55,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48
1,202.35,249.57,51.24,15.24,15.24,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,138.51,127.15,151.00,84.21,39.37,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,0.04,30.36,398.89,81.70,55.10,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,27.75,25.69,218.56,24.02,177.92,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06
2,269.45,228.28,14.48,9.82,25.00,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,95.60,190.27,120.21,48.34,94.34,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,55.68,109.13,376.78,25.90,14.41,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,4.33,109.90,140.40,5.82,207.82,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69
3,274.20,167.21,20.65,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,78.61,193.00,106.52,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,50.04,251.86,219.93,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,8.60,205.06,41.55,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37
4,249.57,51.24,15.24,15.24,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,127.15,151.00,84.21,39.37,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,30.36,398.89,81.70,55.10,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,25.69,218.56,24.02,177.92,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30
5,228.28,14.48,9.82,25.00,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,190.27,120.21,48.34,94.34,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,109.13,376.78,25.90,14.41,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,109.90,140.40,5.82,207.82,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01
6,167.21,20.65,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,193.00,106.52,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,251.86,219.93,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,205.06,41.55,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98
7,51.24,15.24,15.24,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,81.24,151.00,84.21,39.37,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,87.10,398.89,81.70,55.10,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,259.75,218.56,24.02,177.92,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30,19.95
8,14.48,9.82,25.00,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,44.68,120.21,48.34,94.34,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,139.23,376.78,25.90,14.41,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,252.40,140.40,5.82,207.82,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01,43.16
9,20.65,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,8.77,106.52,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,208.60,219.93,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,41.55,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98,71.78
10,15.24,15.24,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,81.24,14.43,84.21,39.37,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,87.10,250.98,81.70,55.10,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,259.75,153.61,24.02,177.92,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30,19.95,98.03
11,9.82,25.00,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,44.68,74.43,48.34,94.34,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,139.23,211.09,25.90,14.41,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,252.40,197.73,5.82,207.82,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01,43.16,89.46
12,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,8.77,67.10,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,208.60,152.83,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,87.14,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98,71.78,62.43
13,15.24,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,81.24,14.43,21.45,39.37,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,87.10,250.98,71.84,55.10,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,259.75,153.61,14.50,177.92,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30,19.95,98.03,50.47
14,25.00,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,44.68,74.43,26.18,94.34,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,139.23,211.09,28.72,14.41,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,252.40,197.73,26.86,207.82,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01,43.16,89.46,50.69
15,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,8.77,67.10,3.52,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,208.60,152.83,30.18,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,87.14,70.59,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98,71.78,62.43,14.06
16,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,81.24,14.43,21.45,0.80,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,87.10,250.98,71.84,64.70,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,259.75,153.61,14.50,214.73,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30,19.95,98.03,50.47,12.78
17,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,44.68,74.43,26.18,46.66,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,139.23,211.09,28.72,24.69,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,252.40,197.73,26.86,312.02,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01,43.16,89.46,50.69,27.43
18,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,8.77,67.10,3.52,58.37,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,208.60,152.83,30.18,45.55,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,87.14,70.59,314.63,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98,71.78,62.43,14.06,18.36
19,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,81.24,14.43,21.45,0.80,49.04,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,87.10,250.98,71.84,64.70,47.22,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,259.75,153.61,14.50,214.73,187.77,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30,19.95,98.03,50.47,12.78,14.90
20,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,44.68,74.43,26.18,46.66,41.78,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,139.23,211.09,28.72,24.69,16.14,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,252.40,197.73,26.86,312.02,58.26,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01,43.16,89.46,50.69,27.43,56.71
21,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,8.77,67.10,3.52,58.37,19.92,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,208.60,152.83,30.18,45.55,25.77,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,87.14,70.59,314.63,70.01,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98,71.78,62.43,14.06,18.36,85.18
22,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,81.24,14.43,21.45,0.80,49.04,62.02,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,87.10,250.98,71.84,64.70,47.22,50.01,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,259.75,153.61,14.50,214.73,187.77,134.44,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30,19.95,98.03,50.47,12.78,14.90,122.34
23,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,44.68,74.43,26.18,46.66,41.78,152.00,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,139.23,211.09,28.72,24.69,16.14,36.43,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,252.40,197.73,26.86,312.02,58.26,165.40,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01,43.16,89.46,50.69,27.43,56.71,164.59
24,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,8.77,67.10,3.52,58.37,19.92,171.42,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,208.60,152.83,30.18,45.55,25.77,37.59,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,87.14,70.59,314.63,70.01,41.57,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98,71.78,62.43,14.06,18.36,85.18,154.44
25,82.82,68.97,79.61,147.27,123.32,81.95,30.62,81.24,14.43,21.45,0.80,49.04,62.02,163.47,189.26,179.43,44.34,29.54,46.14,12.74,73.54,87.10,250.98,71.84,64.70,47.22,50.01,115.19,307.20,19.86,118.29,137.21,192.08,245.34,308.66,259.75,153.61,14.50,214.73,187.77,134.44,68.08,219.51,164.62,37.32,47.21,57.38,24.06,60.30,19.95,98.03,50.47,12.78,14.90,122.34,155.79
26,36.52,107.28,169.80,129.76,104.33,33.16,87.25,44.68,74.43,26.18,46.66,41.78,152.00,232.51,208.32,114.79,58.81,52.87,78.09,38.25,70.43,139.23,211.09,28.72,24.69,16.14,36.43,115.56,160.04,7.45,46.45,128.55,198.42,271.86,307.29,252.40,197.73,26.86,312.02,58.26,165.40,75.01,186.58,30.60,12.96,96.57,16.32,88.69,39.01,43.16,89.46,50.69,27.43,56.71,164.59,179.87
27,89.02,141.66,102.59,119.60,113.17,40.38,128.93,8.77,67.10,3.52,58.37,19.92,171.42,271.87,190.01,21.99,35.52,42.96,59.99,58.27,21.86,208.60,152.83,30.18,45.55,25.77,37.59,41.72,135.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,87.14,70.59,314.63,70.01,41.57,65.93,214.15,37.25,31.08,101.60,7.48,77.37,8.98,71.78,62.43,14.06,18.36,85.18,154.44,209.96
28,68.97,79.61,147.27,123.32,81.95,30.62,81.24,14.43,21.45,0.80,49.04,62.02,163.47,329.10,179.43,44.34,29.54,46.14,12.74,73.54,87.10,250.98,71.84,64.70,47.22,50.01,115.19,33.57,19.86,118.29,137.21,192.08,245.34,308.66,259.75,153.61,14.50,214.73,187.77,134.44,68.08,109.73,164.62,37.32,47.21,57.38,24.06,60.30,19.95,98.03,50.47,12.78,14.90,122.34,155.79,214.40
29,107.28,169.80,129.76,104.33,33.16,87.25,44.68,74.43,26.18,46.66,41.78,152.00,232.51,289.75,114.79,58.81,52.87,78.09,38.25,70.43,139.23,211.09,28.72,24.69,16.14,36.43,115.56,108.45,7.45,46.45,128.55,198.42,271.86,307.29,252.40,197.73,26.86,312.02,58.26,165.40,75.01,229.75,30.60,12.96,96.57,16.32,88.69,39.01,43.16,89.46,50.69,27.43,56.71,164.59,179.87,220.13
30,141.66,102.59,119.60,113.17,40.38,128.93,8.77,67.10,3.52,58.37,19.92,171.42,271.87,239.58,21.99,35.52,42.96,59.99,58.27,21.86,208.60,152.83,30.18,45.55,25.77,37.59,41.72,152.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,87.14,70.59,314.63,70.01,41.57,65.93,229.53,37.25,31.08,101.60,7.48,77.37,8.98,71.78,62.43,14.06,18.36,85.18,154.44,209.96,257.07
31,79.61,147.27,123.32,81.95,30.62,81.24,14.43,21.45,0.80,49.04,62.02,163.47,329.10,347.60,44.34,29.54,46.14,12.74,73.54,87.10,250.98,71.84,64.70,47.22,50.01,115.19,33.57,110.77,118.29,137.21,192.08,245.34,308.66,259.75,153.61,14.50,214.73,187.77,134.44,68.08,109.73,213.78,37.32,47.21,57.38,24.06,60.30,19.95,98.03,50.47,12.78,14.90,122.34,155.79,214.40,244.80
32,169.80,129.76,104.33,33.16,87.25,44.68,74.43,26.18,46.66,41.78,152.00,232.51,289.75,398.41,58.81,52.87,78.09,38.25,70.43,139.23,211.09,28.72,24.69,16.14,36.43,115.56,108.45,20.26,46.45,128.55,198.42,271.86,307.29,252.40,197.73,26.86,312.02,58.26,165.40,75.01,229.75,299.58,12.96,96.57,16.32,88.69,39.01,43.16,89.46,50.69,27.43,56.71,164.59,179.87,220.13,172.16
33,102.59,119.60,113.17,40.38,128.93,8.77,67.10,3.52,58.37,19.92,171.42,271.87,239.58,281.61,35.52,42.96,59.99,58.27,21.86,208.60,152.83,30.18,45.55,25.77,37.59,41.72,152.83,30.18,104.53,145.67,191.77,297.62,266.83,184.24,87.14,70.59,314.63,70.01,41.57,65.93,229.53,323.92,31.08,101.60,7.48,77.37,8.98,71.78,62.43,14.06,18.36,85.18,154.44,209.96,257.07,89.22
34,147.27,123.32,81.95,30.62,81.24,14.43,21.45,0.80,49.04,62.02,163.47,329.10,347.60,205.46,29.54,46.14,12.74,73.54,87.10,250.98,71.84,64.70,47.22,50.01,115.19,33.57,110.77,84.77,137.21,192.08,245.34,308.66,259.75,153.61,14.50,214.73,187.77,134.44,68.08,109.73,213.78,334.19,47.21,57.38,24.06,60.30,19.95,98.03,50.47,12.78,14.90,122.34,155.79,214.40,244.80,18.18
35,129.76,104.33,33.16,87.25,44.68,74.43,26.18,46.66,41.78,152.00,232.51,289.75,398.41,166.02,52.87,78.09,38.25,70.43,139.23,211.09,28.72,24.69,16.14,36.43,115.56,108.45,20.26,62.95,128.55,198.42,271.86,307.29,252.40,197.73,26.86,312.02,58.26,165.40,75.01,229.75,299.58,229.91,96.57,16.32,88.69,39.01,43.16,89.46,50.69,27.43,56.71,164.59,179.87,220.13,172.16,20.04
36,119.60,113.17,40.38,128.93,8.77,67.10,3.52,58.37,19.92,171.42,271.87,239.58,281.61,156.50,42.96,59.99,58.27,21.86,208.60,152.83,30.18,45.55,25.77,37.59,41.72,152.83,30.18,12.62,145.67,191.77,297.62,266.83,184.24,87.14,70.59,314.63,70.01,41.57,65.93,229.53,323.92,150.33,101.60,7.48,77.37,8.98,71.78,62.43,14.06,18.36,85.18,154.44,209.96,257.07,89.22,45.54
37,123.32,81.95,30.62,81.24,14.43,21.45,0.80,49.04,62.02,163.47,329.10,347.60,205.46,123.94,46.14,12.74,73.54,87.10,250.98,71.84,64.70,47.22,50.01,115.19,33.57,110.77,84.77,50.79,192.08,245.34,308.66,259.75,153.61,14.50,214.73,187.77,134.44,68.08,109.73,213.78,334.19,172.47,57.38,24.06,60.30,19.95,98.03,50.47,12.78,14.90,122.34,155.79,214.40,244.80,18.18,50.57
38,104.33,33.16,87.25,44.68,74.43,26.18,46.66,41.78,152.00,232.51,289.75,398.41,166.02,54.03,78.09,38.25,70.43,139.23,211.09,28.72,24.69,16.14,36.43,115.56,108.45,20.26,62.95,108.88,198.42,271.86,307.29,252.40,197.73,26.86,312.02,58.26,165.40,75.01,229.75,299.58,229.91,187.46,16.32,88.69,39.01,43.16,89.46,50.69,27.43,56.71,164.59,179.87,220.13,172.16,20.04,25.61
39,113.17,40.38,128.93,8.77,67.10,3.52,58.37,19.92,171.42,271.87,239.58,281.61,156.50,6.27,59.99,58.27,21.86,208.60,152.83,30.18,45.55,25.77,37.59,41.72,152.83,30.18,12.62,175.89,191.77,297.62,266.83,184.24,87.14,70.59,314.63,70.01,41.57,65.93,229.53,323.92,150.33,56.11,7.48,77.37,8.98,71.78,62.43,14.06,18.36,85.18,154.44,209.96,257.07,89.22,45.54,0.62
40,81.95,30.62,81.24,14.43,21.45,0.80,49.04,62.02,163.47,329.10,347.60,205.46,123.94,39.19,12.74,73.54,87.10,250.98,71.84,64.70,47.22,50.01,115.19,33.57,110.77,84.77,50.79,195.25,245.34,308.66,259.75,153.61,14.50,214.73,187.77,134.44,68.08,109.73,213.78,334.19,172.47,83.02,24.06,60.30,19.95,98.03,50.47,12.78,14.90,122.34,155.79,214.40,244.80,18.18,50.57,28.25
41,33.16,87.25,44.68,74.43,26.18,46.66,41.78,152.00,232.51,289.75,398.41,166.02,54.03,128.70,38.25,70.43,139.23,211.09,28.72,24.69,16.14,36.43,115.56,108.45,20.26,62.95,108.88,210.60,271.86,307.29,252.40,197.73,26.86,312.02,58.26,165.40,75.01,229.75,299.58,229.91,187.46,77.18,88.69,39.01,43.16,89.46,50.69,27.43,56.71,164.59,179.87,220.13,172.16,20.04,25.61,38.53
42,40.38,128.93,8.77,67.10,3.52,58.37,19.92,171.42,271.87,239.58,281.61,156.50,6.27,242.24,58.27,21.86,208.60,152.83,30.18,45.55,25.77,37.59,41.72,152.83,30.18,12.62,175.89,149.78,297.62,266.83,184.24,87.14,70.59,314.63,70.01,41.57,65.93,229.53,323.92,150.33,56.11,82.37,77.37,8.98,71.78,62.43,14.06,18.36,85.18,154.44,209.96,257.07,89.22,45.54,0.62,127.05
43,30.62,81.24,14.43,21.45,0.80,49.04,62.02,163.47,329.10,347.60,205.46,123.94,39.19,259.96,73.54,87.10,250.98,71.84,64.70,47.22,50.01,115.19,33.57,110.77,84.77,50.79,195.25,148.21,308.66,259.75,153.61,14.50,214.73,187.77,134.44,68.08,109.73,213.78,334.19,172.47,83.02,184.60,60.30,19.95,98.03,50.47,12.78,14.90,122.34,155.79,214.40,244.80,18.18,50.57,28.25,190.23
44,87.25,44.68,74.43,26.18,46.66,41.78,152.00,232.51,289.75,398.41,166.02,54.03,128.70,255.50,70.43,139.23,211.09,28.72,24.69,16.14,36.43,115.56,108.45,20.26,62.95,108.88,210.60,211.48,307.29,252.40,197.73,26.86,312.02,58.26,165.40,75.01,229.75,299.58,229.91,187.46,77.18,135.66,39.01,43.16,89.46,50.69,27.43,56.71,164.59,179.87,220.13,172.16,20.04,25.61,38.53,199.32
45,128.93,8.77,67.10,3.52,58.37,19.92,171.42,271.87,239.58,281.61,156.50,6.27,242.24,209.43,21.86,208.60,152.83,30.18,45.55,25.77,37.59,41.72,152.83,30.18,12.62,175.89,149.78,233.64,266.83,184.24,87.14,70.59,314.63,70.01,41.57,65.93,229.53,323.92,150.33,56.11,82.37,110.41,8.98,71.78,62.43,14.06,18.36,85.18,154.44,209.96,257.07,89.22,45.54,0.62,127.05,163.74
46,81.24,14.43,21.45,0.80,49.04,62.02,163.47,329.10,347.60,205.46,123.94,39.19,259.96,88.90,87.10,250.98,71.84,64.70,47.22,50.01,115.19,33.57,110.77,84.77,50.79,195.25,148.21,244.33,259.75,153.61,14.50,214.73,187.77,134.44,68.08,109.73,213.78,334.19,172.47,83.02,184.60,128.36,19.95,98.03,50.47,12.78,14.90,122.34,155.79,214.40,244.80,18.18,50.57,28.25,190.23,154.79
47,44.68,74.43,26.18,46.66,41.78,152.00,232.51,289.75,398.41,166.02,54.03,128.70,255.50,34.65,139.23,211.09,28.72,24.69,16.14,36.43,115.56,108.45,20.26,62.95,108.88,210.60,211.48,233.93,252.40,197.73,26.86,312.02,58.26,165.40,75.01,229.75,299.58,229.91,187.46,77.18,135.66,56.63,43.16,89.46,50.69,27.43,56.71,164.59,179.87,220.13,172.16,20.04,25.61,38.53,199.32,157.89
48,8.77,67.10,3.52,58.37,19.92,171.42,271.87,239.58,281.61,156.50,6.27,242.24,209.43,81.34,208.60,152.83,30.18,45.55,25.77,37.59,41.72,152.83,30.18,12.62,175.89,149.78,233.64,237.73,184.24,87.14,70.59,314.63,70.01,41.57,65.93,229.53,323.92,150.33,56.11,82.37,110.41,7.07,71.78,62.43,14.06,18.36,85.18,154.44,209.96,257.07,89.22,45.54,0.62,127.05,163.74,125.95
49,14.43,21.45,0.80,49.04,62.02,163.47,329.10,347.60,205.46,123.94,39.19,259.96,88.90,120.97,250.98,71.84,64.70,47.22,50.01,115.19,33.57,110.77,84.77,50.79,195.25,148.21,244.33,250.67,153.61,14.50,214.73,187.77,134.44,68.08,109.73,213.78,334.19,172.47,83.02,184.60,128.36,69.33,98.03,50.47,12.78,14.90,122.34,155.79,214.40,244.80,18.18,50.57,28.25,190.23,154.79,125.90
50,74.43,26.18,46.66,41.78,152.00,232.51,289.75,398.41,166.02,54.03,128.70,255.50,34.65,79.67,211.09,28.72,24.69,16.14,36.43,115.56,108.45,20.26,62.95,108.88,210.60,211.48,233.93,280.42,197.73,26.86,312.02,58.26,165.40,75.01,229.75,299.58,229.91,187.46,77.18,135.66,56.63,26.22,89.46,50.69,27.43,56.71,164.59,179.87,220.13,172.16,20.04,25.61,38.53,199.32,157.89,126.61
51,67.10,3.52,58.37,19.92,171.42,271.87,239.58,281.61,156.50,6.27,242.24,209.43,81.34,8.63,152.83,30.18,45.55,25.77,37.59,41.72,152.83,30.18,12.62,175.89,149.78,233.64,237.73,202.77,87.14,70.59,314.63,70.01,41.57,65.93,229.53,323.92,150.33,56.11,82.37,110.41,7.07,115.36,62.43,14.06,18.36,85.18,154.44,209.96,257.07,89.22,45.54,0.62,127.05,163.74,125.95,123.07
52,21.45,0.80,49.04,62.02,163.47,329.10,347.60,205.46,123.94,39.19,259.96,88.90,120.97,75.71,71.84,64.70,47.22,50.01,115.19,33.57,110.77,84.77,50.79,195.25,148.21,244.33,250.67,169.17,14.50,214.73,187.77,134.44,68.08,109.73,213.78,334.19,172.47,83.02,184.60,128.36,69.33,103.42,50.47,12.78,14.90,122.34,155.79,214.40,244.80,18.18,50.57,28.25,190.23,154.79,125.90,109.00
53,26.18,46.66,41.78,152.00,232.51,289.75,398.41,166.02,54.03,128.70,255.50,34.65,79.67,37.15,28.72,24.69,16.14,36.43,115.56,108.45,20.26,62.95,108.88,210.60,211.48,233.93,280.42,134.73,26.86,312.02,58.26,165.40,75.01,229.75,299.58,229.91,187.46,77.18,135.66,56.63,26.22,35.48,50.69,27.43,56.71,164.59,179.87,220.13,172.16,20.04,25.61,38.53,199.32,157.89,126.61,90.20
54,3.52,58.37,19.92,171.42,271.87,239.58,281.61,156.50,6.27,242.24,209.43,81.34,8.63,13.29,30.18,45.55,25.77,37.59,41.72,152.83,30.18,12.62,175.89,149.78,233.64,237.73,202.77,26.46,70.59,314.63,70.01,41.57,65.93,229.53,323.92,150.33,56.11,82.37,110.41,7.07,115.36,129.23,14.06,18.36,85.18,154.44,209.96,257.07,89.22,45.54,0.62,127.05,163.74,125.95,123.07,60.22
55,0.80,49.04,62.02,163.47,329.10,347.60,205.46,123.94,39.19,259.96,88.90,120.97,75.71,12.91,64.70,47.22,50.01,115.19,33.57,110.77,84.77,50.79,195.25,148.21,244.33,250.67,169.17,110.02,214.73,187.77,134.44,68.08,109.73,213.78,334.19,172.47,83.02,184.60,128.36,69.33,103.42,139.04,12.78,14.90,122.34,155.79,214.40,244.80,18.18,50.57,28.25,190.23,154.79,125.90,109.00,41.24
56,46.66,41.78,152.00,232.51,289.75,398.41,166.02,54.03,128.70,255.50,34.65,79.67,37.15,3.88,24.69,16.14,36.43,115.56,108.45,20.26,62.95,108.88,210.60,211.48,233.93,280.42,134.73,110.16,312.02,58.26,165.40,75.01,229.75,299.58,229.91,187.46,77.18,135.66,56.63,26.22,35.48,70.34,27.43,56.71,164.59,179.87,220.13,172.16,20.04,25.61,38.53,199.32,157.89,126.61,90.20,20.36
57,58.37,19.92,171.42,271.87,239.58,281.61,156.50,6.27,242.24,209.43,81.34,8.63,13.29,40.50,45.55,25.77,37.59,41.72,152.83,30.18,12.62,175.89,149.78,233.64,237.73,202.77,26.46,64.13,314.63,70.01,41.57,65.93,229.53,323.92,150.33,56.11,82.37,110.41,7.07,115.36,129.23,104.06,18.36,85.18,154.44,209.96,257.07,89.22,45.54,0.62,127.05,163.74,125.95,123.07,60.22,4.99
58,49.04,62.02,163.47,329.10,347.60,205.46,123.94,39.19,259.96,88.90,120.97,75.71,12.91,88.29,47.22,50.01,115.19,33.57,110.77,84.77,50.79,195.25,148.21,244.33,250.67,169.17,110.02,28.39,187.77,134.44,68.08,109.73,213.78,334.19,172.47,83.02,184.60,128.36,69.33,103.42,139.04,138.88,14.90,122.34,155.79,214.40,244.80,18.18,50.57,28.25,190.23,154.79,125.90,109.00,41.24,26.43
59,41.78,152.00,232.51,289.75,398.41,166.02,54.03,128.70,255.50,34.65,79.67,37.15,3.88,5.93,16.14,36.43,115.56,108.45,20.26,62.95,108.88,210.60,211.48,233.93,280.42,134.73,110.16,9.94,58.26,165.40,75.01,229.75,299.58,229.91,187.46,77.18,135.66,56.63,26.22,35.48,70.34,57.08,56.71,164.59,179.87,220.13,172.16,20.04,25.61,38.53,199.32,157.89,126.61,90.20,20.36,50.80
