,epo-22,epo-20,epo-18,epo-16,epo-14,epo-12,epo-10,epo-8,epo-6,epo-4,epo-2,epo0,epo2,epo4,epo6,epo8,epo10,epo12,epo14,epo16,nao-22,nao-20,nao-18,nao-16,nao-14,nao-12,nao-10,nao-8,nao-6,nao-4,nao-2,nao0,nao2,nao4,nao6,nao8,nao10,nao12,nao14,nao16,pna-22,pna-20,pna-18,pna-16,pna-14,pna-12,pna-10,pna-8,pna-6,pna-4,pna-2,pna0,pna2,pna4,pna6,pna8,pna10,pna12,pna14,pna16,wpo-22,wpo-20,wpo-18,wpo-16,wpo-14,wpo-12,wpo-10,wpo-8,wpo-6,wpo-4,wpo-2,wpo0,wpo2,wpo4,wpo6,wpo8,wpo10,wpo12,wpo14,wpo16
0,269.45,249.57,167.21,14.48,15.24,6.73,25.00,23.87,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,95.60,127.15,193.00,120.21,84.21,11.44,94.34,265.21,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,55.68,30.36,251.86,376.78,81.70,76.92,14.41,17.81,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,4.33,25.69,205.06,140.40,24.02,95.41,207.82,233.40,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06
1,274.20,228.28,51.24,20.65,9.82,15.24,40.26,15.85,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,78.61,190.27,151.00,106.52,48.34,39.37,210.90,241.83,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,50.04,109.13,398.89,219.93,25.90,55.10,24.76,80.85,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,8.60,109.90,218.56,41.55,5.82,177.92,249.71,175.99,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69
2,249.57,167.21,14.48,15.24,6.73,25.00,23.87,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,127.15,193.00,120.21,84.21,11.44,94.34,265.21,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,30.36,251.86,376.78,81.70,76.92,14.41,17.81,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,25.69,205.06,140.40,24.02,95.41,207.82,233.40,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37
3,228.28,51.24,20.65,9.82,15.24,40.26,15.85,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,190.27,151.00,106.52,48.34,39.37,210.90,241.83,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,109.13,398.89,219.93,25.90,55.10,24.76,80.85,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,109.90,218.56,41.55,5.82,177.92,249.71,175.99,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30
4,167.21,14.48,15.24,6.73,25.00,23.87,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,193.00,120.21,84.21,11.44,94.34,265.21,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,251.86,376.78,81.70,76.92,14.41,17.81,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,205.06,140.40,24.02,95.41,207.82,233.40,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01
5,51.24,20.65,9.82,15.24,40.26,15.85,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,151.00,106.52,48.34,39.37,210.90,241.83,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,398.89,219.93,25.90,55.10,24.76,80.85,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,218.56,41.55,5.82,177.92,249.71,175.99,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98
6,14.48,15.24,6.73,25.00,23.87,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,120.21,84.21,11.44,94.34,265.21,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,376.78,81.70,76.92,14.41,17.81,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,140.40,24.02,95.41,207.82,233.40,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95
7,20.65,9.82,15.24,40.26,15.85,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,106.52,48.34,39.37,210.90,241.83,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,219.93,25.90,55.10,24.76,80.85,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,41.55,5.82,177.92,249.71,175.99,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16
8,15.24,6.73,25.00,23.87,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,84.21,11.44,94.34,265.21,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,81.70,76.92,14.41,17.81,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,24.02,95.41,207.82,233.40,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78
9,9.82,15.24,40.26,15.85,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,48.34,39.37,210.90,241.83,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,25.90,55.10,24.76,80.85,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,5.82,177.92,249.71,175.99,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03
10,6.73,25.00,23.87,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,11.44,94.34,265.21,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,76.92,14.41,17.81,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,95.41,207.82,233.40,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46
11,15.24,40.26,15.85,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,39.37,210.90,241.83,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,55.10,24.76,80.85,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,177.92,249.71,175.99,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43
12,25.00,23.87,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,94.34,265.21,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,14.41,17.81,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,207.82,233.40,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47
13,40.26,15.85,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,210.90,241.83,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,24.76,80.85,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,249.71,175.99,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69
14,23.87,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,265.21,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,17.81,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,233.40,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06
15,15.85,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,241.83,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,80.85,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,175.99,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78
16,48.97,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,205.44,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,100.71,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,173.68,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43
17,78.64,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,210.04,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,198.10,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,207.21,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36
18,162.40,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,196.41,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,228.34,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,248.76,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90
19,273.97,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,141.47,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,192.56,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,278.82,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71
20,314.57,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,47.84,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,42.75,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,285.94,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18
21,293.96,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,89.02,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,107.09,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,298.71,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34
22,184.58,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,162.68,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,291.01,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,269.66,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59
23,82.82,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,189.26,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,307.20,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,219.51,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44
24,36.52,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,208.32,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,160.04,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,186.58,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79
25,89.02,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,190.01,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,135.83,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,214.15,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87
26,68.97,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,271.87,179.43,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,41.72,19.86,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,65.93,164.62,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79,209.96
27,107.28,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,329.10,114.79,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,33.57,7.45,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,109.73,30.60,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87,214.40
28,141.66,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,271.87,289.75,21.99,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,41.72,108.45,89.28,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,65.93,229.75,37.25,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79,209.96,220.13
29,79.61,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,329.10,239.58,44.34,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,33.57,152.83,118.29,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,109.73,229.53,37.32,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87,214.40,257.07
30,169.80,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,271.87,289.75,347.60,58.81,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,41.72,108.45,110.77,46.45,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,65.93,229.75,213.78,12.96,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79,209.96,220.13,244.80
31,102.59,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,329.10,239.58,398.41,35.52,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,33.57,152.83,20.26,104.53,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,109.73,229.53,299.58,31.08,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87,214.40,257.07,172.16
32,147.27,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,271.87,289.75,347.60,281.61,29.54,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,41.72,108.45,110.77,30.18,137.21,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,65.93,229.75,213.78,323.92,47.21,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79,209.96,220.13,244.80,89.22
33,129.76,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,329.10,239.58,398.41,205.46,52.87,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,33.57,152.83,20.26,84.77,128.55,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,109.73,229.53,299.58,334.19,96.57,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87,214.40,257.07,172.16,18.18
34,119.60,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,271.87,289.75,347.60,281.61,166.02,42.96,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,41.72,108.45,110.77,30.18,62.95,145.67,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,65.93,229.75,213.78,323.92,229.91,101.60,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79,209.96,220.13,244.80,89.22,20.04
35,123.32,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,329.10,239.58,398.41,205.46,156.50,46.14,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,33.57,152.83,20.26,84.77,12.62,192.08,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,109.73,229.53,299.58,334.19,150.33,57.38,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87,214.40,257.07,172.16,18.18,45.54
36,104.33,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,271.87,289.75,347.60,281.61,166.02,123.94,78.09,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,41.72,108.45,110.77,30.18,62.95,50.79,198.42,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,65.93,229.75,213.78,323.92,229.91,172.47,16.32,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79,209.96,220.13,244.80,89.22,20.04,50.57
37,113.17,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,329.10,239.58,398.41,205.46,156.50,54.03,59.99,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,33.57,152.83,20.26,84.77,12.62,108.88,191.77,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,109.73,229.53,299.58,334.19,150.33,187.46,7.48,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87,214.40,257.07,172.16,18.18,45.54,25.61
38,81.95,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,271.87,289.75,347.60,281.61,166.02,123.94,6.27,12.74,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,41.72,108.45,110.77,30.18,62.95,50.79,175.89,245.34,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,65.93,229.75,213.78,323.92,229.91,172.47,56.11,24.06,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79,209.96,220.13,244.80,89.22,20.04,50.57,0.62
39,33.16,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,329.10,239.58,398.41,205.46,156.50,54.03,39.19,38.25,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,33.57,152.83,20.26,84.77,12.62,108.88,195.25,271.86,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,109.73,229.53,299.58,334.19,150.33,187.46,83.02,88.69,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87,214.40,257.07,172.16,18.18,45.54,25.61,28.25
40,40.38,87.25,81.24,8.77,74.43,21.45,3.52,46.66,49.04,19.92,152.00,163.47,271.87,289.75,347.60,281.61,166.02,123.94,6.27,128.70,58.27,70.43,87.10,208.60,211.09,71.84,30.18,24.69,47.22,25.77,36.43,115.19,41.72,108.45,110.77,30.18,62.95,50.79,175.89,210.60,297.62,307.29,259.75,184.24,197.73,14.50,70.59,312.02,187.77,70.01,165.40,68.08,65.93,229.75,213.78,323.92,229.91,172.47,56.11,77.18,77.37,39.01,19.95,71.78,89.46,50.47,14.06,27.43,14.90,85.18,164.59,155.79,209.96,220.13,244.80,89.22,20.04,50.57,0.62,38.53
41,30.62,128.93,44.68,14.43,67.10,26.18,0.80,58.37,41.78,62.02,171.42,232.51,329.10,239.58,398.41,205.46,156.50,54.03,39.19,242.24,73.54,21.86,139.23,250.98,152.83,28.72,64.70,45.55,16.14,50.01,37.59,115.56,33.57,152.83,20.26,84.77,12.62,108.88,195.25,149.78,308.66,266.83,252.40,153.61,87.14,26.86,214.73,314.63,58.26,134.44,41.57,75.01,109.73,229.53,299.58,334.19,150.33,187.46,83.02,82.37,60.30,8.98,43.16,98.03,62.43,50.69,12.78,18.36,56.71,122.34,154.44,179.87,214.40,257.07,172.16,18.18,45.54,25.61,28.25,127.05
