,epo-22,epo-20,epo-18,epo-16,epo-14,epo-12,epo-10,epo-8,epo-6,epo-4,epo-2,epo0,epo2,epo4,epo6,epo8,epo10,epo12,epo14,epo16,nao-22,nao-20,nao-18,nao-16,nao-14,nao-12,nao-10,nao-8,nao-6,nao-4,nao-2,nao0,nao2,nao4,nao6,nao8,nao10,nao12,nao14,nao16,pna-22,pna-20,pna-18,pna-16,pna-14,pna-12,pna-10,pna-8,pna-6,pna-4,pna-2,pna0,pna2,pna4,pna6,pna8,pna10,pna12,pna14,pna16,wpo-22,wpo-20,wpo-18,wpo-16,wpo-14,wpo-12,wpo-10,wpo-8,wpo-6,wpo-4,wpo-2,wpo0,wpo2,wpo4,wpo6,wpo8,wpo10,wpo12,wpo14,wpo16
4497,193.19,155.34,2.34,99.87,23.38,45.26,40.58,7.83,81.72,154.26,240.50,217.08,220.66,197.03,214.26,47.54,13.87,116.00,58.08,14.28,11.67,223.97,257.73,271.87,195.20,281.96,131.36,42.10,138.04,169.21,229.71,145.38,172.85,2.37,57.71,72.58,63.19,17.38,41.18,72.30,305.06,182.50,199.99,5.27,30.82,77.20,60.37,38.39,147.66,47.48,88.02,16.68,53.38,130.67,254.73,50.93,48.89,31.69,35.72,125.24,5.07,43.15,37.33,24.79,17.84,46.45,48.95,52.61,94.99,28.51,105.79,74.37,118.97,125.16,119.43,77.37,128.55,37.44,2.02,32.59
4498,170.83,78.25,48.95,62.69,45.17,34.48,41.74,85.02,117.35,204.30,249.07,185.09,200.31,188.03,168.42,13.30,56.68,106.69,40.22,41.94,162.59,241.85,261.59,236.86,203.96,234.53,89.11,71.02,153.45,237.92,166.06,191.29,47.44,10.45,83.01,69.29,43.77,12.10,71.43,15.48,265.49,240.55,62.82,10.35,95.20,57.39,49.78,117.96,121.36,75.16,42.08,21.41,76.31,199.38,154.90,7.79,14.80,6.16,86.19,132.55,17.36,60.79,35.01,14.30,37.08,40.47,0.73,99.73,43.62,90.07,83.60,108.33,132.09,132.70,92.87,116.09,67.47,23.34,19.28,35.55
4499,155.34,2.34,99.87,23.38,45.26,40.58,7.83,81.72,154.26,240.50,217.08,220.66,197.03,214.26,47.54,13.87,116.00,58.08,14.28,36.52,223.97,257.73,271.87,195.20,281.96,131.36,42.10,138.04,169.21,229.71,145.38,172.85,2.37,57.71,72.58,63.19,17.38,41.18,72.30,24.01,182.50,199.99,5.27,30.82,77.20,60.37,38.39,147.66,47.48,88.02,16.68,53.38,130.67,254.73,50.93,48.89,31.69,35.72,125.24,109.35,43.15,37.33,24.79,17.84,46.45,48.95,52.61,94.99,28.51,105.79,74.37,118.97,125.16,119.43,77.37,128.55,37.44,2.02,32.59,20.45
4500,195.76,107.09,137.02,132.02,138.48,158.88,41.81,74.85,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,131.64,155.82,115.72,25.78,37.90,38.38,2.00,12.75,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,213.00,158.89,35.91,99.56,90.07,166.31,364.27,272.73,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,41.39,104.14,115.40,88.55,116.98,38.77,75.00,103.38,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57
4501,187.60,104.88,125.34,157.50,127.64,136.17,6.36,126.83,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,133.81,157.35,37.75,64.66,9.00,16.32,4.13,71.41,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,199.10,72.76,68.30,87.15,117.16,263.87,313.53,241.75,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,93.13,89.61,109.90,98.23,69.40,56.78,99.77,80.63,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64
4502,107.09,137.02,132.02,138.48,158.88,41.81,74.85,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,155.82,115.72,25.78,37.90,38.38,2.00,12.75,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,158.89,35.91,99.56,90.07,166.31,364.27,272.73,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,104.14,115.40,88.55,116.98,38.77,75.00,103.38,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27
4503,104.88,125.34,157.50,127.64,136.17,6.36,126.83,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,81.38,157.35,37.75,64.66,9.00,16.32,4.13,71.41,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,57.44,72.76,68.30,87.15,117.16,263.87,313.53,241.75,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,234.38,89.61,109.90,98.23,69.40,56.78,99.77,80.63,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64,21.05
4504,137.02,132.02,138.48,158.88,41.81,74.85,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,54.49,115.72,25.78,37.90,38.38,2.00,12.75,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,176.89,35.91,99.56,90.07,166.31,364.27,272.73,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,142.64,115.40,88.55,116.98,38.77,75.00,103.38,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27,43.65
4505,125.34,157.50,127.64,136.17,6.36,126.83,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,81.38,35.93,37.75,64.66,9.00,16.32,4.13,71.41,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,57.44,262.22,68.30,87.15,117.16,263.87,313.53,241.75,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,234.38,139.75,109.90,98.23,69.40,56.78,99.77,80.63,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64,21.05,40.92
4506,132.02,138.48,158.88,41.81,74.85,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,54.49,28.05,25.78,37.90,38.38,2.00,12.75,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,176.89,346.22,99.56,90.07,166.31,364.27,272.73,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,142.64,167.21,88.55,116.98,38.77,75.00,103.38,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27,43.65,23.03
4507,157.50,127.64,136.17,6.36,126.83,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,81.38,35.93,23.70,64.66,9.00,16.32,4.13,71.41,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,57.44,262.22,372.44,87.15,117.16,263.87,313.53,241.75,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,234.38,139.75,184.45,98.23,69.40,56.78,99.77,80.63,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64,21.05,40.92,7.57
4508,138.48,158.88,41.81,74.85,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,54.49,28.05,11.10,37.90,38.38,2.00,12.75,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,176.89,346.22,396.68,90.07,166.31,364.27,272.73,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,142.64,167.21,216.05,116.98,38.77,75.00,103.38,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27,43.65,23.03,6.50
4509,127.64,136.17,6.36,126.83,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,81.38,35.93,23.70,8.20,9.00,16.32,4.13,71.41,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,57.44,262.22,372.44,392.02,117.16,263.87,313.53,241.75,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,234.38,139.75,184.45,239.61,69.40,56.78,99.77,80.63,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64,21.05,40.92,7.57,11.24
4510,158.88,41.81,74.85,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,54.49,28.05,11.10,26.42,38.38,2.00,12.75,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,176.89,346.22,396.68,335.38,166.31,364.27,272.73,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,142.64,167.21,216.05,278.78,38.77,75.00,103.38,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27,43.65,23.03,6.50,40.00
4511,136.17,6.36,126.83,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,81.38,35.93,23.70,8.20,41.34,16.32,4.13,71.41,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,57.44,262.22,372.44,392.02,264.59,263.87,313.53,241.75,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,234.38,139.75,184.45,239.61,353.90,56.78,99.77,80.63,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64,21.05,40.92,7.57,11.24,59.97
4512,41.81,74.85,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,54.49,28.05,11.10,26.42,37.15,2.00,12.75,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,176.89,346.22,396.68,335.38,208.48,364.27,272.73,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,142.64,167.21,216.05,278.78,412.41,75.00,103.38,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27,43.65,23.03,6.50,40.00,35.98
4513,6.36,126.83,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,81.38,35.93,23.70,8.20,41.34,22.79,4.13,71.41,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,57.44,262.22,372.44,392.02,264.59,131.19,313.53,241.75,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,234.38,139.75,184.45,239.61,353.90,446.05,99.77,80.63,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64,21.05,40.92,7.57,11.24,59.97,1.15
4514,74.85,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,54.49,28.05,11.10,26.42,37.15,11.39,12.75,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,176.89,346.22,396.68,335.38,208.48,98.15,272.73,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,142.64,167.21,216.05,278.78,412.41,478.06,103.38,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27,43.65,23.03,6.50,40.00,35.98,0.78
4515,126.83,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,81.38,35.93,23.70,8.20,41.34,22.79,16.16,71.41,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,57.44,262.22,372.44,392.02,264.59,131.19,62.03,241.75,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,234.38,139.75,184.45,239.61,353.90,446.05,360.88,80.63,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64,21.05,40.92,7.57,11.24,59.97,1.15,70.35
4516,138.56,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,54.49,28.05,11.10,26.42,37.15,11.39,26.48,72.61,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,176.89,346.22,396.68,335.38,208.48,98.15,9.22,183.75,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,142.64,167.21,216.05,278.78,412.41,478.06,348.30,79.68,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27,43.65,23.03,6.50,40.00,35.98,0.78,92.39
4517,116.71,41.82,83.64,58.68,146.50,198.10,206.24,88.12,172.80,12.44,146.50,66.55,81.38,35.93,23.70,8.20,41.34,22.79,16.16,59.20,13.03,90.41,58.48,38.56,29.09,100.92,98.47,79.38,79.78,169.67,175.86,2.64,57.44,262.22,372.44,392.02,264.59,131.19,62.03,22.79,118.54,103.59,163.78,207.50,138.78,77.47,144.74,132.83,128.03,205.21,13.16,172.19,234.38,139.75,184.45,239.61,353.90,446.05,360.88,385.47,68.56,38.95,38.63,39.71,39.84,35.20,145.68,55.19,17.83,24.23,45.37,30.64,21.05,40.92,7.57,11.24,59.97,1.15,70.35,37.49
4518,83.57,91.23,60.94,84.96,179.36,203.11,178.89,109.87,74.84,49.44,138.80,16.83,54.49,28.05,11.10,26.42,37.15,11.39,26.48,78.51,77.40,67.15,59.74,23.26,66.35,129.06,78.59,40.32,125.70,196.69,101.56,32.44,176.89,346.22,396.68,335.38,208.48,98.15,9.22,61.59,113.44,103.62,212.44,174.67,128.02,13.15,154.72,152.56,162.61,134.10,78.00,252.36,142.64,167.21,216.05,278.78,412.41,478.06,348.30,314.20,20.75,54.05,44.17,42.59,5.19,89.17,116.97,2.55,31.22,22.57,41.57,4.27,43.65,23.03,6.50,40.00,35.98,0.78,92.39,10.47
